list,buffer, 0.666666666666667,18,list utils,buffer utils,test list utils,test buffer utils,typed list,typed buffer,test predicated list,test predicated buffer,predicated list,predicated buffer,make test list,make test buffer,decorate list,decorate buffer,test synchronized list,test synchronized buffer,synchronized list,synchronized buffer,testpredicated list,testpredicated buffer,transformed list,transformed buffer,test transformed list,test transformed buffer,test transformed list,test transformed buffer,test transformed list,test transformed buffer,test transformed list,test transformed buffer,test unmodifiable list,test unmodifiable buffer,unmodifiable list,unmodifiable buffer,abstract list decorator,abstract buffer decorator
lazy,growth, 0.666666666666667,2,lazy list,growth list,test lazy list,test growth list
max,composited, 0.5,1,remove max,remove composited
null,column, 0.5,1,null comparator,column comparator
contains,string, 0.5,1,test contains value key,test string value transformer
empty map,object graph, 0.5,1,test empty map iterator,test object graph iterator
add,method, 0.666666666666667,1,test add mutator,test method mutator
tree,testpredicated, 0.5,1,tree list,testpredicated list
update,unmodifiable, 0.5,1,update entry,unmodifiable entry
lazy,setup, 0.5,1,lazy list,setup list
min,self, 0.5,1,remove min,remove self
array list,object graph, 0.5,2,test array list iterator,test object graph iterator,test array list iterator,test object graph iterator
ex,copy, 0.666666666666667,1,test constructor ex,test constructor copy
type,default, 0.666666666666667,2,typed map,defaulted map,get type transformer,get default transformer
sorted,full, 0.5,8,abstract test sorted map,test full map serialization,make test sorted map,test full map serialization,test full map iterator,abstract test sorted map,make test sorted map,test full map iterator,abstract test sorted map,test full map compatibility,make test sorted map,test full map compatibility,abstract test sorted bag,test full bag compatibility,abstract test sorted bag,test full bag serialization
typed,string, 0.5,1,typed buffer,string buffer
null,transforming, 0.5,1,null comparator,transforming comparator
byte,object, 0.75,4,get some byte value,set some object value,set some byte value,set some object value,get some byte value,get some object value,set some byte value,get some object value
min,first, 0.5,1,remove min,remove first
typed,decorate, 0.5,6,typed map,decorate map,typed collection,decorate collection,typed collection,decorate collection,typed buffer,decorate buffer,typed list,decorate list,typed bag,decorate bag
tree,growth, 0.666666666666667,2,tree list,growth list,test tree list,test growth list
equals self,graph iterator, 0.5,1,test object equals self,test object graph iterator
multi hash,lrumulti key, 0.5,1,test multi hash map,test lrumulti key map
composite,defaulted, 0.666666666666667,2,test composite map,test defaulted map,composite map,defaulted map
value,listable, 0.5,2,remove value,remove listable,insert value,insert listable
order,remove, 0.5,3,test map iterator order,test collection iterator remove,test map iterator order,test singleton iterator remove,test map iterator order,test list iterator remove
random,reverse, 0.75,2,test random list sort,test reverse list sort,test random list sort,test reverse list iterator
invert,singleton, 0.666666666666667,1,test invert map,test singleton map
load,decorate, 0.5,1,load map,decorate map
sub,filter, 0.5,3,bulk test sub list,test filter list iterator,bulk test sub list,test filter list iterator,test sub list remove,test filter list iterator
leaf,filter, 0.5,1,leaf iterator,filter iterator
size,singleton, 0.666666666666667,2,test size map,test singleton map,test size iterator,test singleton iterator
float,object, 0.75,4,get some float value,set some object value,set some float value,set some object value,get some float value,get some object value,set some float value,get some object value
filter,singleton, 0.75,5,test filter iterator,test singleton iterator,filter list iterator,singleton list iterator,test filter list iterator,test singleton list iterator,filter iterator,singleton iterator,filter iterator,singleton iterator
map,order, 0.5,1,check map,check order
multi hash,unmodifiable bidi, 0.5,1,test multi hash map,test unmodifiable bidi map
boolean,comparable, 0.666666666666667,2,test boolean comparator,test comparable comparator,boolean comparator,comparable comparator
contains,previous, 0.666666666666667,2,test contains key,test previous key,contains key,previous key
self,impl, 0.5,1,remove self,remove impl
bean,check, 0.5,1,bean map,check map
add,array, 0.5,1,add iterator,array iterator
hash,ordered, 0.666666666666667,2,hash map iterator,ordered map iterator,hash iterator,ordered iterator
proxy,composite, 0.5,1,proxy map,composite map
map serialization,bag compatibility, 0.5,1,test full map serialization,test full bag compatibility
map,destroy, 0.5,1,map entry,destroy entry
sub list,map iterator, 0.5,2,bulk test sub list,bulk test map iterator,bulk test sub list,bulk test map iterator
bidi,buffer, 0.666666666666667,1,test bidi remove,test buffer remove
key,unmodifiable, 0.5,4,key iterator,unmodifiable iterator,key iterator,unmodifiable iterator,key list,unmodifiable list,test key list view,test unmodifiable list iterator
utils,remove, 0.666666666666667,3,test map utils,test map remove,test collection utils,test collection remove,test buffer utils,test buffer remove
fast tree,reference identity, 0.5,1,test fast tree map,test reference identity map
list sort,bag compatibility, 0.5,1,test empty list sort,test empty bag compatibility
proxy,empty, 0.666666666666667,3,proxy list iterator,empty list iterator,proxy iterator,empty iterator,proxy iterator,empty iterator
multi value,ordered bidi, 0.5,1,test multi value map,test ordered bidi map
map,leaf, 0.5,1,map iterator,leaf iterator
int,object, 0.75,4,get some int value,set some object value,set some int value,set some object value,get some int value,get some object value,set some int value,get some object value
bean,bounded, 0.666666666666667,1,test bean map,test bounded map
